Date,Amount,Category
2021-01-01,66.07,Utilities
2021-01-02,33.48,Entertainment
2021-01-03,45.31,Dining Out
2021-01-04,56.73,Groceries
2021-01-05,43.91,Utilities
2021-01-06,40.14,Utilities
2021-01-07,26.45,Utilities
2021-01-08,21.41,Transport
2021-01-09,162.99,Healthcare
2021-01-10,170.98,Transport
2021-01-11,155.81,Entertainment
2021-01-12,43.25,Transport
2021-01-13,186.18,Utilities
2021-01-14,83.84,Dining Out
2021-01-15,43.83,Transport
2021-01-16,195.36,Healthcare
2021-01-17,98.01,Groceries
2021-01-18,114.68,Subscriptions
2021-01-19,50.21,Groceries
2021-01-20,95.87,Subscriptions
2021-01-21,162.83,Utilities
2021-01-22,85.38,Entertainment
2021-01-23,93.35,Dining Out
2021-01-24,116.71,Entertainment
2021-01-25,168.07,Groceries
2021-01-26,28.55,Healthcare
2021-01-27,157.63,Utilities
2021-01-28,164.99,Groceries
2021-01-29,87.45,Groceries
2021-01-30,176.3,Utilities
2021-01-31,133.43,Groceries
2021-02-01,156.69,Transport
2021-02-02,71.28,Utilities
2021-02-03,154.46,Groceries
2021-02-04,188.09,Entertainment
2021-02-05,163.68,Groceries
2021-02-06,43.03,Transport
2021-02-07,123.15,Utilities
2021-02-08,95.14,Dining Out
2021-02-09,106.68,Dining Out
2021-02-10,31.64,Dining Out
2021-02-11,111.91,Groceries
2021-02-12,96.38,Groceries
2021-02-13,20.56,Transport
2021-02-14,146.37,Subscriptions
2021-02-15,159.58,Transport
2021-02-16,80.83,Utilities
2021-02-17,48.64,Groceries
2021-02-18,195.07,Dining Out
2021-02-19,167.63,Transport
2021-02-20,5.05,Transport
2021-02-21,149.58,Subscriptions
2021-02-22,183.68,Transport
2021-02-23,109.54,Utilities
2021-02-24,79.72,Healthcare
2021-02-25,68.38,Groceries
2021-02-26,119.33,Subscriptions
2021-02-27,101.82,Entertainment
2021-02-28,181.09,Groceries
2021-03-01,30.22,Utilities
2021-03-02,61.29,Dining Out
2021-03-03,14.27,Healthcare
2021-03-04,113.39,Subscriptions
2021-03-05,72.47,Healthcare
2021-03-06,114.38,Dining Out
2021-03-07,85.91,Utilities
2021-03-08,68.21,Subscriptions
2021-03-09,45.31,Groceries
2021-03-10,119.51,Entertainment
2021-03-11,124.58,Dining Out
2021-03-12,30.24,Groceries
2021-03-13,178.22,Utilities
2021-03-14,55.9,Subscriptions
2021-03-15,74.54,Dining Out
2021-03-16,160.8,Utilities
2021-03-17,74.42,Healthcare
2021-03-18,75.14,Groceries
2021-03-19,85.16,Entertainment
2021-03-20,169.2,Utilities
2021-03-21,95.97,Subscriptions
2021-03-22,24.8,Dining Out
2021-03-23,89.35,Subscriptions
2021-03-24,113.18,Entertainment
2021-03-25,52.54,Healthcare
2021-03-26,164.41,Entertainment
2021-03-27,71.03,Healthcare
2021-03-28,184.9,Entertainment
2021-03-29,91.79,Healthcare
2021-03-30,80.09,Groceries
2021-03-31,17.95,Healthcare
2021-04-01,65.47,Transport
2021-04-02,187.86,Groceries
2021-04-03,125.88,Healthcare
2021-04-04,75.99,Dining Out
2021-04-05,196.37,Transport
2021-04-06,83.44,Transport
2021-04-07,98.17,Groceries
2021-04-08,137.15,Healthcare
2021-04-09,94.37,Healthcare
2021-04-10,8.98,Subscriptions
2021-04-11,33.33,Healthcare
2021-04-12,129.04,Entertainment
2021-04-13,196.69,Healthcare
2021-04-14,171.13,Healthcare
2021-04-15,76.62,Entertainment
2021-04-16,183.02,Healthcare
2021-04-17,130.08,Healthcare
2021-04-18,82.69,Entertainment
2021-04-19,146.36,Transport
2021-04-20,86.42,Healthcare
2021-04-21,193.05,Healthcare
2021-04-22,42.92,Dining Out
2021-04-23,97.87,Subscriptions
2021-04-24,33.69,Dining Out
2021-04-25,53.3,Entertainment
2021-04-26,153.74,Groceries
2021-04-27,157.16,Subscriptions
2021-04-28,95.08,Healthcare
2021-04-29,33.23,Dining Out
2021-04-30,118.14,Entertainment
2021-05-01,175.14,Transport
2021-05-02,132.41,Transport
2021-05-03,136.25,Utilities
2021-05-04,106.71,Groceries
2021-05-05,123.43,Entertainment
2021-05-06,33.45,Utilities
2021-05-07,18.3,Entertainment
2021-05-08,24.4,Groceries
2021-05-09,54.44,Dining Out
2021-05-10,122.09,Subscriptions
2021-05-11,191.78,Groceries
2021-05-12,130.5,Utilities
2021-05-13,83.99,Dining Out
2021-05-14,109.57,Utilities
2021-05-15,53.7,Transport
2021-05-16,168.57,Utilities
2021-05-17,133.49,Healthcare
2021-05-18,69.52,Entertainment
2021-05-19,178.04,Dining Out
2021-05-20,33.54,Entertainment
2021-05-21,89.07,Healthcare
2021-05-22,149.42,Groceries
2021-05-23,81.52,Dining Out
2021-05-24,167.82,Utilities
2021-05-25,51.98,Entertainment
2021-05-26,193.37,Entertainment
2021-05-27,103.13,Transport
2021-05-28,124.22,Groceries
2021-05-29,21.55,Healthcare
2021-05-30,54.86,Utilities
2021-05-31,173.61,Dining Out
2021-06-01,84.81,Utilities
2021-06-02,186.75,Entertainment
2021-06-03,98.91,Healthcare
2021-06-04,117.98,Utilities
2021-06-05,66.21,Utilities
2021-06-06,102.97,Healthcare
2021-06-07,107.59,Utilities
2021-06-08,6.3,Transport
2021-06-09,119.6,Utilities
2021-06-10,188.45,Transport
2021-06-11,96.14,Entertainment
2021-06-12,111.98,Groceries
2021-06-13,124.22,Utilities
2021-06-14,57.03,Healthcare
2021-06-15,61.0,Transport
2021-06-16,76.43,Subscriptions
2021-06-17,146.53,Subscriptions
2021-06-18,19.39,Entertainment
2021-06-19,105.11,Groceries
2021-06-20,104.33,Utilities
2021-06-21,136.25,Healthcare
2021-06-22,32.2,Groceries
2021-06-23,151.33,Transport
2021-06-24,184.83,Transport
2021-06-25,148.12,Healthcare
2021-06-26,61.84,Entertainment
2021-06-27,46.05,Transport
2021-06-28,152.53,Dining Out
2021-06-29,183.02,Transport
2021-06-30,51.28,Healthcare
2021-07-01,183.63,Healthcare
2021-07-02,181.94,Entertainment
2021-07-03,196.3,Dining Out
2021-07-04,66.65,Utilities
2021-07-05,133.5,Groceries
2021-07-06,69.61,Dining Out
2021-07-07,22.39,Healthcare
2021-07-08,44.76,Dining Out
2021-07-09,65.45,Transport
2021-07-10,73.74,Utilities
2021-07-11,94.21,Transport
2021-07-12,9.44,Dining Out
2021-07-13,146.72,Healthcare
2021-07-14,161.12,Transport
2021-07-15,167.74,Dining Out
2021-07-16,48.21,Healthcare
2021-07-17,190.36,Groceries
2021-07-18,109.92,Utilities
2021-07-19,47.73,Subscriptions
2021-07-20,174.67,Transport
2021-07-21,144.12,Entertainment
2021-07-22,61.87,Utilities
2021-07-23,7.37,Utilities
2021-07-24,158.34,Entertainment
2021-07-25,94.98,Healthcare
2021-07-26,198.26,Healthcare
2021-07-27,31.7,Healthcare
2021-07-28,63.83,Utilities
2021-07-29,115.46,Utilities
2021-07-30,90.12,Utilities
2021-07-31,173.76,Groceries
2021-08-01,166.48,Entertainment
2021-08-02,37.7,Entertainment
